tweet_id,retweet_count,favorite_count
892420643555336193,7783,36543
892177421306343426,5764,31480
891815181378084864,3816,23728
891689557279858688,7954,39869
891327558926688256,8584,38077
891087950875897856,2868,19151
890971913173991426,1876,11161
890729181411237888,17370,61624
890609185150312448,3953,26377
890240255349198849,6766,30168
890006608113172480,6755,29026
889880896479866881,4602,26379
889665388333682689,9220,45475
889638837579907072,4140,25593
889531135344209921,2080,14311
889278841981685760,4923,23831
888917238123831296,4151,27553
888804989199671297,3924,24199
888554962724278272,3216,18698
888078434458587136,3191,20604
887705289381826560,4954,28591
887517139158093824,10829,43841
887473957103951883,16597,65131
887343217045368832,9636,31862
887101392804085760,5493,28958
886983233522544640,7084,33114
886736880519319552,2970,11363
886680336477933568,4112,21248
886366144734445568,2917,20004
886267009285017600,4,113
886258384151887873,5813,26493
886054160059072513,100,0
885984800019947520,6194,30835
885528943205470208,5888,34036
885518971528720385,3444,19374
885311592912609280,17089,0
885167619883638784,4031,20724
884925521741709313,16689,73083
884876753390489601,5153,26360
884562892145688576,4333,22991
884441805382717440,5243,25597
884247878851493888,18769,68900
884162670584377345,2758,19306
883838122936631299,3176,20674
883482846933004288,9101,43398
883360690899218434,3418,21472
883117836046086144,6115,35124
882992080364220416,3588,22613
882762694511734784,4509,26758
882627270321602560,5597,26469
882268110199369728,10684,42466
882045870035918850,4514,27755
881906580714921986,3129,23029
881666595344535552,9852,47927
881633300179243008,7,120
881536004380872706,14730,46824
881268444196462592,4841,21957
880935762899988482,2572,16141
880872448815771648,3529,20150
880465832366813184,5751,26988
880221127280381952,3848,25561
880095782870896641,4004,26163
879862464715927552,3232,21171
879674319642796034,10,298
879492040517615616,2939,22232
879415818425184262,41009,100204
879376492567855104,2891,15910
879130579576475649,6277,0
879050749262655488,4323,21351
879008229531029506,2478,17981
878776093423087618,3776,18347
878604707211726852,6580,28568
878404777348136964,1187,0
878316110768087041,6164,0
878281511006478336,1189,7329
878057613040115712,6277,39883
877736472329191424,17520,75278
877611172832227328,74,0
877556246731214848,3526,21531
877316821321428993,4796,25977
877201837425926144,5167,25691
876838120628539392,3086,19613
876537666061221889,4332,22399
876484053909872640,2203,17813
876120275196170240,4319,26536
875747767867523072,3959,23880
875144289856114688,4553,20785
875097192612077568,5633,26052
875021211251597312,4385,24193
874680097055178752,4288,26417
874434818259525634,13487,0
874296783580663808,3808,24733
874057562936811520,3687,21577
